date,name,currency,open,close,high,low,volume
2016-02-01,Yahoo! Inc.,USD,29.27,29.57,29.790001,28.790001,12905700
2016-01-29,Yahoo! Inc.,USD,29.10,29.51,29.51,28.51,18979500
2016-01-28,Yahoo! Inc.,USD,30.59,28.75,30.629999,28.60,15589300
2016-01-27,Yahoo! Inc.,USD,29.90,29.690001,30.530001,29.450001,13534600
2016-01-26,Yahoo! Inc.,USD,29.76,29.98,30.190001,29.620001,11426200
2016-01-25,Yahoo! Inc.,USD,29.959999,29.780001,30.389999,29.66,23176900
2016-01-22,Yahoo! Inc.,USD,29.969999,29.75,30.52,29.309999,16298100
2016-01-21,Yahoo! Inc.,USD,28.75,29.309999,29.799999,28.190001,16282500
2016-01-20,Yahoo! Inc.,USD,28.98,28.780001,29.110001,27.440001,20458900
2016-01-19,Yahoo! Inc.,USD,29.84,29.74,30.00,29.309999,20053000
2016-01-15,Yahoo! Inc.,USD,29.280001,29.139999,29.77,28.59,17352000
2016-01-14,Yahoo! Inc.,USD,29.690001,30.32,30.57,28.709999,15031400
2016-01-13,Yahoo! Inc.,USD,30.889999,29.440001,31.17,29.33,16692400
2016-01-12,Yahoo! Inc.,USD,30.58,30.690001,30.969999,30.209999,13198500
2016-01-11,Yahoo! Inc.,USD,30.65,30.17,30.75,29.74,17140100
2016-01-08,Yahoo! Inc.,USD,30.51,30.629999,31.540001,30.00,26322800
2016-01-07,Yahoo! Inc.,USD,30.969999,30.16,31.190001,30.02,21209100
2016-01-06,Yahoo! Inc.,USD,31.67,32.16,32.459999,31.60,16047800
2016-01-05,Yahoo! Inc.,USD,31.549999,32.200001,32.330002,31.530001,14301100
2016-01-04,Yahoo! Inc.,USD,32.119999,31.40,32.349998,31.139999,25194400
2016-02-01,Apple Inc.,USD,96.470001,96.43,96.709999,95.400002,40943500
2016-01-29,Apple Inc.,USD,94.790001,97.339996,97.339996,94.349998,64416500
2016-01-28,Apple Inc.,USD,93.790001,94.089996,94.519997,92.389999,55678800
2016-01-27,Apple Inc.,USD,96.040001,93.419998,96.629997,93.339996,133369700
2016-01-26,Apple Inc.,USD,99.93,99.989998,100.879997,98.07,75077000
2016-01-25,Apple Inc.,USD,101.519997,99.440002,101.529999,99.209999,51794500
2016-01-22,Apple Inc.,USD,98.629997,101.419998,101.459999,98.370003,65800500
2016-01-21,Apple Inc.,USD,97.059998,96.300003,97.879997,94.940002,52161500
2016-01-20,Apple Inc.,USD,95.099998,96.790001,98.190002,93.419998,72334400
2016-01-19,Apple Inc.,USD,98.410004,96.660004,98.650002,95.50,53087700
2016-01-15,Apple Inc.,USD,96.199997,97.129997,97.709999,95.360001,79010000
2016-01-14,Apple Inc.,USD,97.959999,99.519997,100.480003,95.739998,63170100
2016-01-13,Apple Inc.,USD,100.32,97.389999,101.190002,97.300003,62439600
2016-01-12,Apple Inc.,USD,100.550003,99.959999,100.690002,98.839996,49154200
2016-01-11,Apple Inc.,USD,98.970001,98.529999,99.059998,97.339996,49739400
2016-01-08,Apple Inc.,USD,98.550003,96.959999,99.110001,96.760002,70798000
2016-01-07,Apple Inc.,USD,98.68,96.449997,100.129997,96.43,81094400
2016-01-06,Apple Inc.,USD,100.559998,100.699997,102.370003,99.870003,68457400
