,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,2310,2420,2275,2370,3,0,0.00,3013330,-62.51,77.77,0.14,3.57,76016,0,037950,7083,-80411,5,-60,-2.53,2,50,2.11,5,-95,-4.01,200141
1,20161111,2425,2530,2350,2370,5,65,-2.67,8038391,-65.80,78.43,0.14,9.52,-51343,-8,037950,19648,102121,5,-10,-0.41,2,95,3.90,5,-85,-3.49,200141
2,20161110,2265,2645,2245,2435,5,350,-12.57,23500695,-37.64,80.16,0.20,27.83,-60666,0,037950,56920,-12552,5,-520,-18.67,5,-140,-5.03,5,-540,-19.39,205630
3,20161109,2160,2785,2130,2785,1,640,29.84,37682549,1306.92,117.83,0.29,44.62,-16044,-50000,037950,98181,63081,2,15,0.70,2,640,29.84,5,-15,-0.70,235186
4,20161108,2070,2210,2055,2145,2,55,2.63,2678381,25.99,84.14,0.31,3.17,33076,0,037950,5761,-32238,5,-20,-0.96,2,120,5.74,5,-35,-1.67,181140
5,20161107,2130,2150,2050,2090,5,155,-6.90,2125948,-36.46,48.74,0.27,2.52,-271,-3747,037950,4435,4018,5,-115,-5.12,5,-95,-4.23,5,-195,-8.69,176495
6,20161104,2315,2410,2245,2245,5,40,-1.75,3345982,-38.14,84.17,0.25,3.96,58108,-6,037950,7841,-57374,2,30,1.31,2,125,5.47,5,-40,-1.75,189585
7,20161103,2330,2440,2230,2285,2,35,1.56,5408788,-59.50,76.89,0.18,6.40,-76797,3747,037950,12635,72298,2,80,3.56,2,190,8.44,5,-20,-0.89,192963
8,20161102,2000,2430,2000,2250,2,275,13.92,13355509,1999.15,114.56,0.27,15.82,-278967,4,037950,30280,282673,2,25,1.27,2,455,23.04,2,25,1.27,190007
9,20161101,1905,2060,1905,1975,5,15,-0.75,636233,33.56,78.48,0.60,0.75,18656,3,037950,1268,-18659,5,-85,-4.27,2,70,3.52,5,-85,-4.27,166784
10,20161031,2030,2080,1980,1990,5,65,-3.16,476382,-50.29,36.50,0.58,0.56,91659,0,037950,956,-98644,5,-25,-1.22,2,25,1.22,5,-75,-3.65,168051
11,20161028,2180,2200,2030,2055,5,150,-6.80,958365,186.27,47.95,0.47,1.13,-70991,0,037950,1995,56743,5,-25,-1.13,5,-5,-0.23,5,-175,-7.94,173540
12,20161027,2165,2225,2155,2205,2,45,2.08,334782,-49.07,84.07,0.56,0.40,63264,1,037950,736,-61265,2,5,0.23,2,65,3.01,5,-5,-0.23,186207
13,20161026,2130,2235,2125,2160,5,10,-0.46,657376,17.87,66.74,0.48,0.78,49313,1,037950,1427,-49314,5,-40,-1.84,2,65,3.00,5,-45,-2.07,182407
14,20161025,2260,2295,2130,2170,5,90,-3.98,557703,132.93,26.35,0.42,0.66,43707,4,037950,1222,-30791,3,0,0.00,2,35,1.55,5,-130,-5.75,183251
15,20161024,2290,2320,2255,2260,5,30,-1.31,239430,-34.78,41.68,0.37,0.28,1208,0,037950,544,-6238,3,0,0.00,2,30,1.31,5,-35,-1.53,190851
16,20161021,2280,2315,2270,2290,5,10,-0.43,367119,-1.42,47.16,0.37,0.43,-713,0,037950,841,-18331,5,-20,-0.87,2,15,0.65,5,-30,-1.30,193385
17,20161020,2370,2395,2295,2300,5,50,-2.13,372392,-50.88,45.15,0.37,0.44,-35155,0,037950,867,30712,2,20,0.85,2,45,1.91,5,-55,-2.34,194229
18,20161019,2300,2450,2295,2350,2,60,2.62,758152,105.46,108.11,0.41,0.90,11422,0,037950,1792,-11422,2,10,0.44,2,160,6.99,2,5,0.22,198452
19,20161018,2325,2345,2290,2290,5,35,-1.51,369003,-15.43,29.58,0.40,0.44,2228,0,037950,851,-253,3,0,0.00,2,20,0.86,5,-35,-1.51,193385
20,20161017,2365,2420,2325,2325,5,70,-2.92,436342,15.99,41.99,0.39,0.52,-16027,0,037950,1031,20381,5,-30,-1.25,2,25,1.04,5,-70,-2.92,196340
21,20161014,2390,2430,2370,2395,5,15,-0.62,376176,-40.15,36.93,0.40,0.45,10425,0,037950,903,-14353,5,-20,-0.83,2,20,0.83,5,-40,-1.66,202252
22,20161013,2490,2500,2400,2410,5,90,-3.60,628514,-52.82,23.39,0.38,0.74,-27321,0,037950,1535,37765,5,-10,-0.40,3,0,0.00,5,-100,-4.00,203519
23,20161012,2435,2580,2395,2500,2,60,2.46,1332163,-38.76,127.16,0.42,1.58,111504,2,037950,3310,-132436,5,-5,-0.20,2,140,5.74,5,-45,-1.84,211119
24,20161011,2620,2630,2435,2440,5,180,-6.87,2175490,173.17,36.24,0.28,2.58,-3716,0,037950,5408,8574,3,0,0.00,2,10,0.38,5,-185,-7.06,206052
25,20161010,2640,2695,2610,2620,2,5,0.19,796387,-28.72,59.87,0.27,0.94,-12043,0,037950,2112,11051,2,25,0.96,2,80,3.06,5,-5,-0.19,221252
26,20161007,2705,2725,2600,2615,5,60,-2.24,1117229,14.62,43.54,0.29,1.32,-19010,0,037950,2951,7239,2,30,1.12,2,50,1.87,5,-75,-2.80,220830
27,20161006,2695,2740,2670,2675,5,40,-1.47,974724,-40.17,43.73,0.31,1.15,16628,-15327,037950,2624,-8289,5,-20,-0.74,2,25,0.92,5,-45,-1.66,225897
28,20161005,2725,2765,2670,2715,5,25,-0.91,1629107,-46.90,57.01,0.25,1.93,-81359,-50000,037950,4418,146965,5,-15,-0.55,2,25,0.91,5,-70,-2.55,229275
29,20161004,2710,2795,2705,2740,5,130,-4.53,3067874,-69.09,49.69,0.42,3.63,5445,-3059,037950,8397,-23289,5,-160,-5.57,5,-75,-2.61,5,-165,-5.75,231386
30,20160930,2620,2920,2590,2870,2,270,10.38,9923836,975.31,122.35,0.41,11.75,-19173,3059,037950,28104,19702,2,20,0.77,2,320,12.31,5,-10,-0.38,242364
31,20160929,2700,2770,2600,2600,5,80,-2.99,922879,3.61,61.83,0.43,1.09,-52192,0,037950,2477,52589,2,20,0.75,2,90,3.36,5,-80,-2.99,219564
32,20160928,2735,2760,2665,2680,5,50,-1.83,890734,-74.44,41.27,0.49,1.05,-85009,0,037950,2414,85128,2,5,0.18,2,30,1.10,5,-65,-2.38,226319
33,20160927,2675,2840,2665,2730,2,70,2.63,3485131,430.93,116.21,0.59,4.13,-96814,0,037950,9649,96232,2,15,0.56,2,180,6.77,2,5,0.19,230542
34,20160926,2640,2695,2620,2660,2,25,0.95,656422,-15.31,92.78,0.70,0.78,-50262,0,037950,1743,50220,2,5,0.19,2,60,2.28,5,-15,-0.57,224630
35,20160923,2645,2705,2590,2635,5,10,-0.38,775076,-45.98,63.22,0.76,0.92,1060,0,037950,2045,-1137,3,0,0.00,2,60,2.27,5,-55,-2.08,222519
36,20160922,2555,2725,2545,2645,2,95,3.73,1434680,166.88,91.33,0.76,1.70,46424,0,037950,3777,-49250,2,5,0.20,2,175,6.86,5,-5,-0.20,223364
37,20160921,2590,2605,2540,2550,5,15,-0.58,537576,-3.81,33.53,0,0.64,0,0,037950,1375,48789,2,25,0.97,2,40,1.56,5,-25,-0.97,215341
38,20160920,2545,2600,2510,2565,2,25,0.98,558849,-12.21,74.19,0.73,0.66,25413,0,037950,1424,-26313,2,5,0.20,2,60,2.36,5,-30,-1.18,216608
39,20160919,2505,2555,2480,2540,2,25,0.99,636594,-1.95,72.92,0.73,0.75,52462,0,037950,1602,-48214,5,-10,-0.40,2,40,1.59,5,-35,-1.39,214497
40,20160913,2470,2520,2420,2515,2,45,1.82,649227,-49.86,72.75,0.67,0.77,152548,0,037950,1605,-141248,3,0,0.00,2,50,2.02,5,-50,-2.02,212386
41,20160912,2465,2575,2450,2470,2,5,0.20,1294897,32.46,85.85,0.49,1.53,-94518,0,037950,3239,91220,3,0,0.00,2,110,4.46,5,-15,-0.61,208585
42,20160909,2435,2490,2340,2465,5,15,-0.60,977540,-31.29,64.74,0.60,1.16,177017,0,037950,2377,-175395,5,-45,-1.81,2,10,0.40,5,-140,-5.65,208163
43,20160908,2635,2640,2410,2480,5,155,-5.88,1422766,137.39,30.56,0.39,1.68,4672,0,037950,3570,-3874,3,0,0.00,2,5,0.19,5,-225,-8.54,209430
44,20160907,2645,2685,2620,2635,2,5,0.19,599336,0.90,66.63,0.38,0.71,2893,0,037950,1587,-3115,2,15,0.57,2,55,2.09,5,-10,-0.38,222519
45,20160906,2700,2705,2615,2630,5,65,-2.41,594018,40.45,40.81,0.38,0.70,-44963,0,037950,1571,43943,2,5,0.19,2,10,0.37,5,-80,-2.97,222097
46,20160905,2710,2745,2685,2695,2,25,0.94,422940,-32.36,67.72,0.43,0.50,-49283,0,037950,1145,48383,2,40,1.50,2,75,2.81,2,15,0.56,227586
47,20160902,2640,2725,2610,2670,2,30,1.14,625322,10.43,66.23,0.49,0.74,38223,0,037950,1668,-37521,3,0,0.00,2,85,3.22,5,-30,-1.14,225475
48,20160901,2600,2650,2570,2640,2,15,0.57,566274,-16.62,63.28,0.44,0.67,43270,0,037950,1481,-43300,5,-25,-0.95,2,25,0.95,5,-55,-2.10,222941
49,20160831,2665,2665,2570,2625,5,15,-0.57,679185,14.19,48.16,0.39,0.80,32323,0,037950,1772,-33163,2,25,0.95,2,25,0.95,5,-70,-2.65,221675
50,20160830,2615,2690,2610,2640,2,45,1.73,594784,-44.24,96.44,0.35,0.70,91752,0,037950,1573,-91630,2,20,0.77,2,95,3.66,2,15,0.58,222941
51,20160829,2725,2745,2595,2595,5,130,-4.77,1066769,18.72,28.11,0.24,1.26,40377,-1733,037950,2824,-34570,3,0,0.00,2,20,0.73,5,-130,-4.77,219141
52,20160826,2785,2825,2720,2725,5,35,-1.27,898524,9.00,53.21,0.19,1.06,-744,-4354,037950,2488,5775,2,25,0.91,2,65,2.36,5,-40,-1.45,230119
53,20160825,2820,2840,2760,2760,5,55,-1.95,824337,-28.11,29.00,0.19,0.98,-1125,0,037950,2305,5448,2,5,0.18,2,25,0.89,5,-55,-1.95,233075
54,20160824,2820,2890,2805,2815,5,5,-0.18,1146641,-40.01,74.50,0.19,1.36,-14907,1733,037950,3253,12841,3,0,0.00,2,70,2.48,5,-15,-0.53,237720
55,20160823,2900,2940,2805,2820,5,110,-3.75,1911397,-83.54,34.71,0.21,2.26,2548,0,037950,5431,356,5,-30,-1.02,2,10,0.34,5,-125,-4.27,238142
56,20160822,3060,3250,2930,2930,2,40,1.38,11611313,602.57,105.40,0.20,13.75,-180753,0,037950,36053,183987,2,170,5.88,2,360,12.46,2,40,1.38,247431
57,20160819,2770,2900,2730,2890,2,120,4.33,1652688,82.34,113.44,0.42,1.96,95068,0,037950,4765,-98678,3,0,0.00,2,130,4.69,5,-40,-1.44,244053
58,20160818,2880,2880,2750,2770,5,80,-2.81,906362,-47.12,21.78,0.30,1.07,-59095,0,037950,2526,59918,2,30,1.05,2,30,1.05,5,-100,-3.51,233920
59,20160817,2845,2945,2835,2850,2,30,1.06,1714007,107.84,104.94,0.37,2.03,-112425,0,037950,4946,86874,2,25,0.89,2,125,4.43,2,15,0.53,240675
60,20160816,2815,2885,2800,2820,2,5,0.18,824662,-6.21,103.23,0.50,0.98,-65605,0,037950,2339,64730,3,0,0.00,2,70,2.49,5,-15,-0.53,238142
61,20160812,2760,2845,2730,2815,2,60,2.18,879219,19.77,107.80,0.58,1.04,123956,0,037950,2457,-117029,2,5,0.18,2,90,3.27,5,-25,-0.91,237720
62,20160811,2825,2835,2750,2755,5,70,-2.48,734080,-42.01,40.25,0.44,0.87,801,0,037950,2038,-2831,3,0,0.00,2,10,0.35,5,-75,-2.65,232653
63,20160810,2800,2855,2680,2825,2,30,1.07,1265871,-32.31,77.91,0.44,1.50,130154,0,037950,3528,-127472,2,5,0.18,2,60,2.15,5,-115,-4.11,238564
64,20160809,2960,2975,2775,2795,5,155,-5.25,1870004,75.96,35.73,0.28,2.21,-64873,0,037950,5317,71149,2,10,0.34,2,25,0.85,5,-175,-5.93,236031
65,20160808,2915,2990,2890,2950,2,35,1.20,1062748,9.26,87.15,0.36,1.26,10252,0,037950,3130,-14752,3,0,0.00,2,75,2.57,5,-25,-0.86,249120
